REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,PWRHYDCRIXX01,1,2030,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2030,29.2238
GLOBAL,S1D1,PWRWONCRIXX01,1,2030,14.6804565
GLOBAL,S1D1,RNWBIOCRIXX,1,2030,1.135296
GLOBAL,S1D1,RNWHYDCRIXX,1,2030,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2030,14.6804565
GLOBAL,S1D1,PWRBIOCRIXX01,1,2031,0.31536
GLOBAL,S1D1,PWRHYDCRIXX01,1,2031,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2031,30.5854
GLOBAL,S1D1,PWRWONCRIXX01,1,2031,16.0420565
GLOBAL,S1D1,RNWBIOCRIXX,1,2031,1.135296
GLOBAL,S1D1,RNWHYDCRIXX,1,2031,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2031,16.0420565
GLOBAL,S1D1,PWRHYDCRIXX01,1,2032,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2032,31.947
GLOBAL,S1D1,PWRWONCRIXX01,1,2032,17.7190165
GLOBAL,S1D1,RNWHYDCRIXX,1,2032,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2032,17.7190165
GLOBAL,S1D1,PWRHYDCRIXX01,1,2033,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2033,33.3086
GLOBAL,S1D1,PWRWONCRIXX01,1,2033,20.6615035
GLOBAL,S1D1,RNWHYDCRIXX,1,2033,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2033,20.6615035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2034,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2034,34.6702
GLOBAL,S1D1,PWRWONCRIXX01,1,2034,22.0231035
GLOBAL,S1D1,RNWHYDCRIXX,1,2034,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2034,22.0231035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2035,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2035,36.0318
GLOBAL,S1D1,PWRWONCRIXX01,1,2035,23.3847035
GLOBAL,S1D1,RNWHYDCRIXX,1,2035,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2035,23.3847035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2036,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2036,37.5728
GLOBAL,S1D1,PWRWONCRIXX01,1,2036,23.3448165
GLOBAL,S1D1,RNWHYDCRIXX,1,2036,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2036,23.3448165
GLOBAL,S1D1,PWRHYDCRIXX01,1,2037,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2037,39.1138
GLOBAL,S1D1,PWRWONCRIXX01,1,2037,24.8858165
GLOBAL,S1D1,RNWHYDCRIXX,1,2037,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2037,24.8858165
GLOBAL,S1D1,PWRHYDCRIXX01,1,2038,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2038,40.6502
GLOBAL,S1D1,PWRWONCRIXX01,1,2038,26.4222165
GLOBAL,S1D1,RNWHYDCRIXX,1,2038,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2038,26.4222165
GLOBAL,S1D1,PWRHYDCRIXX01,1,2039,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2039,42.1912
GLOBAL,S1D1,PWRWONCRIXX01,1,2039,29.5441035
GLOBAL,S1D1,RNWHYDCRIXX,1,2039,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2039,29.5441035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2040,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2040,43.7322
GLOBAL,S1D1,PWRWONCRIXX01,1,2040,31.0851035
GLOBAL,S1D1,RNWHYDCRIXX,1,2040,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2040,31.0851035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2041,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2041,45.4066
GLOBAL,S1D1,PWRWONCRIXX01,1,2041,32.7595035
GLOBAL,S1D1,RNWHYDCRIXX,1,2041,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2041,32.7595035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2042,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2042,47.0856
GLOBAL,S1D1,PWRWONCRIXX01,1,2042,32.8576165
GLOBAL,S1D1,RNWHYDCRIXX,1,2042,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2042,32.8576165
GLOBAL,S1D1,PWRHYDCRIXX01,1,2043,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2043,48.76
GLOBAL,S1D1,PWRWONCRIXX01,1,2043,36.1129035
GLOBAL,S1D1,RNWHYDCRIXX,1,2043,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2043,36.1129035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2044,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2044,50.4344
GLOBAL,S1D1,PWRWONCRIXX01,1,2044,37.7873035
GLOBAL,S1D1,RNWHYDCRIXX,1,2044,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2044,37.7873035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2045,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2045,52.1134
GLOBAL,S1D1,PWRWONCRIXX01,1,2045,39.4663035
GLOBAL,S1D1,RNWHYDCRIXX,1,2045,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2045,39.4663035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2046,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2046,53.8798
GLOBAL,S1D1,PWRWONCRIXX01,1,2046,41.2327035
GLOBAL,S1D1,RNWHYDCRIXX,1,2046,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2046,41.2327035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2047,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2047,55.6416
GLOBAL,S1D1,PWRWONCRIXX01,1,2047,42.9945035
GLOBAL,S1D1,RNWHYDCRIXX,1,2047,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2047,42.9945035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2048,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2048,57.408
GLOBAL,S1D1,PWRWONCRIXX01,1,2048,44.7609035
GLOBAL,S1D1,RNWHYDCRIXX,1,2048,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2048,44.7609035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2049,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2049,59.1744
GLOBAL,S1D1,PWRWONCRIXX01,1,2049,46.5273035
GLOBAL,S1D1,RNWHYDCRIXX,1,2049,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2049,46.5273035
GLOBAL,S1D1,PWRHYDCRIXX01,1,2050,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2050,60.9362
GLOBAL,S1D1,PWRWONCRIXX01,1,2050,46.7082165
GLOBAL,S1D1,RNWHYDCRIXX,1,2050,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2050,46.7082165
GLOBAL,S1D2,PWRBIOCRIXX01,1,2021,0.31536
GLOBAL,S1D2,PWRGEOCRIXX01,1,2021,3.0794904
GLOBAL,S1D2,PWRHYDCRIXX01,1,2021,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2021,22.0428
GLOBAL,S1D2,PWRWONCRIXX01,1,2021,2.83907895
GLOBAL,S1D2,RNWBIOCRIXX,1,2021,1.135296
GLOBAL,S1D2,RNWGEOCRIXX,1,2021,3.0794904
GLOBAL,S1D2,RNWHYDCRIXX,1,2021,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2021,2.83907895
GLOBAL,S1D2,PWRBIOCRIXX01,1,2022,0.31536
GLOBAL,S1D2,PWRGEOCRIXX01,1,2022,3.22300335
GLOBAL,S1D2,PWRHYDCRIXX01,1,2022,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2022,23.2794
GLOBAL,S1D2,PWRWONCRIXX01,1,2022,3.932166
GLOBAL,S1D2,RNWBIOCRIXX,1,2022,1.135296
GLOBAL,S1D2,RNWGEOCRIXX,1,2022,3.22300335
GLOBAL,S1D2,RNWHYDCRIXX,1,2022,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2022,3.932166
GLOBAL,S1D2,PWRBIOCRIXX01,1,2023,0.31536
GLOBAL,S1D2,PWRGEOCRIXX01,1,2023,3.421656
GLOBAL,S1D2,PWRHYDCRIXX01,1,2023,14.586105
GLOBAL,S1D2,PWRTRNCRIXX,1,2023,24.5214
GLOBAL,S1D2,PWRWONCRIXX01,1,2023,6.198279
GLOBAL,S1D2,RNWBIOCRIXX,1,2023,1.135296
GLOBAL,S1D2,RNWGEOCRIXX,1,2023,3.421656
GLOBAL,S1D2,RNWHYDCRIXX,1,2023,14.586105
GLOBAL,S1D2,RNWWONCRIXX,1,2023,6.198279
GLOBAL,S1D2,PWRBIOCRIXX01,1,2024,0.31536
GLOBAL,S1D2,PWRGEOCRIXX01,1,2024,3.421656
GLOBAL,S1D2,PWRHYDCRIXX01,1,2024,14.4262475
GLOBAL,S1D2,PWRTRNCRIXX,1,2024,25.758
GLOBAL,S1D2,PWRWONCRIXX01,1,2024,7.5947365
GLOBAL,S1D2,RNWBIOCRIXX,1,2024,1.135296
GLOBAL,S1D2,RNWGEOCRIXX,1,2024,3.421656
GLOBAL,S1D2,RNWHYDCRIXX,1,2024,14.4262475
GLOBAL,S1D2,RNWWONCRIXX,1,2024,7.5947365
GLOBAL,S1D2,PWRBIOCRIXX01,1,2025,0.31536
GLOBAL,S1D2,PWRGEOCRIXX01,1,2025,3.421656
GLOBAL,S1D2,PWRHYDCRIXX01,1,2025,14.265692
GLOBAL,S1D2,PWRTRNCRIXX,1,2025,27.0
GLOBAL,S1D2,PWRWONCRIXX01,1,2025,8.997292
GLOBAL,S1D2,RNWBIOCRIXX,1,2025,1.135296
GLOBAL,S1D2,RNWGEOCRIXX,1,2025,3.421656
GLOBAL,S1D2,RNWHYDCRIXX,1,2025,14.265692
GLOBAL,S1D2,RNWWONCRIXX,1,2025,8.997292
GLOBAL,S1D2,PWRBIOCRIXX01,1,2026,0.31536
GLOBAL,S1D2,PWRHYDCRIXX01,1,2026,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2026,28.458
GLOBAL,S1D2,PWRWONCRIXX01,1,2026,13.9146565
GLOBAL,S1D2,RNWBIOCRIXX,1,2026,1.135296
GLOBAL,S1D2,RNWHYDCRIXX,1,2026,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2026,13.9146565
GLOBAL,S1D2,PWRBIOCRIXX01,1,2027,0.31536
GLOBAL,S1D2,PWRHYDCRIXX01,1,2027,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2027,29.9214
GLOBAL,S1D2,PWRWONCRIXX01,1,2027,13.7971695
GLOBAL,S1D2,RNWBIOCRIXX,1,2027,1.135296
GLOBAL,S1D2,RNWHYDCRIXX,1,2027,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2027,13.7971695
GLOBAL,S1D2,PWRBIOCRIXX01,1,2028,0.31536
GLOBAL,S1D2,PWRHYDCRIXX01,1,2028,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2028,31.3794
GLOBAL,S1D2,PWRWONCRIXX01,1,2028,16.8360565
GLOBAL,S1D2,RNWBIOCRIXX,1,2028,1.135296
GLOBAL,S1D2,RNWHYDCRIXX,1,2028,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2028,16.8360565
GLOBAL,S1D2,PWRBIOCRIXX01,1,2029,0.31536
GLOBAL,S1D2,PWRHYDCRIXX01,1,2029,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2029,32.8428
GLOBAL,S1D2,PWRWONCRIXX01,1,2029,16.7185695
GLOBAL,S1D2,RNWBIOCRIXX,1,2029,1.135296
GLOBAL,S1D2,RNWHYDCRIXX,1,2029,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2029,16.7185695
GLOBAL,S1D2,PWRBIOCRIXX01,1,2030,0.31536
GLOBAL,S1D2,PWRHYDCRIXX01,1,2030,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2030,34.3062
GLOBAL,S1D2,PWRWONCRIXX01,1,2030,19.7628565
GLOBAL,S1D2,RNWBIOCRIXX,1,2030,1.135296
GLOBAL,S1D2,RNWHYDCRIXX,1,2030,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2030,19.7628565
GLOBAL,S1D2,PWRBIOCRIXX01,1,2031,0.31536
GLOBAL,S1D2,PWRHYDCRIXX01,1,2031,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2031,35.9046
GLOBAL,S1D2,PWRWONCRIXX01,1,2031,21.3612565
GLOBAL,S1D2,RNWBIOCRIXX,1,2031,1.135296
GLOBAL,S1D2,RNWHYDCRIXX,1,2031,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2031,21.3612565
GLOBAL,S1D2,PWRHYDCRIXX01,1,2032,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2032,37.503
GLOBAL,S1D2,PWRWONCRIXX01,1,2032,23.2750165
GLOBAL,S1D2,RNWHYDCRIXX,1,2032,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2032,23.2750165
GLOBAL,S1D2,PWRHYDCRIXX01,1,2033,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2033,39.1014
GLOBAL,S1D2,PWRWONCRIXX01,1,2033,23.2925295
GLOBAL,S1D2,RNWHYDCRIXX,1,2033,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2033,23.2925295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2034,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2034,40.6998
GLOBAL,S1D2,PWRWONCRIXX01,1,2034,24.8909295
GLOBAL,S1D2,RNWHYDCRIXX,1,2034,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2034,24.8909295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2035,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2035,42.2982
GLOBAL,S1D2,PWRWONCRIXX01,1,2035,26.4893295
GLOBAL,S1D2,RNWHYDCRIXX,1,2035,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2035,26.4893295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2036,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2036,44.1072
GLOBAL,S1D2,PWRWONCRIXX01,1,2036,29.8792165
GLOBAL,S1D2,RNWHYDCRIXX,1,2036,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2036,29.8792165
GLOBAL,S1D2,PWRHYDCRIXX01,1,2037,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2037,45.9162
GLOBAL,S1D2,PWRWONCRIXX01,1,2037,31.6882165
GLOBAL,S1D2,RNWHYDCRIXX,1,2037,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2037,31.6882165
GLOBAL,S1D2,PWRHYDCRIXX01,1,2038,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2038,47.7198
GLOBAL,S1D2,PWRWONCRIXX01,1,2038,33.4918165
GLOBAL,S1D2,RNWHYDCRIXX,1,2038,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2038,33.4918165
GLOBAL,S1D2,PWRHYDCRIXX01,1,2039,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2039,49.5288
GLOBAL,S1D2,PWRWONCRIXX01,1,2039,33.7199295
GLOBAL,S1D2,RNWHYDCRIXX,1,2039,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2039,33.7199295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2040,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2040,51.3378
GLOBAL,S1D2,PWRWONCRIXX01,1,2040,35.5289295
GLOBAL,S1D2,RNWHYDCRIXX,1,2040,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2040,35.5289295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2041,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2041,53.3034
GLOBAL,S1D2,PWRWONCRIXX01,1,2041,37.4945295
GLOBAL,S1D2,RNWHYDCRIXX,1,2041,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2041,37.4945295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2042,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2042,55.2744
GLOBAL,S1D2,PWRWONCRIXX01,1,2042,41.0464165
GLOBAL,S1D2,RNWHYDCRIXX,1,2042,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2042,41.0464165
GLOBAL,S1D2,PWRHYDCRIXX01,1,2043,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2043,57.24
GLOBAL,S1D2,PWRWONCRIXX01,1,2043,41.4311295
GLOBAL,S1D2,RNWHYDCRIXX,1,2043,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2043,41.4311295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2044,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2044,59.2056
GLOBAL,S1D2,PWRWONCRIXX01,1,2044,43.3967295
GLOBAL,S1D2,RNWHYDCRIXX,1,2044,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2044,43.3967295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2045,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2045,61.1766
GLOBAL,S1D2,PWRWONCRIXX01,1,2045,45.3677295
GLOBAL,S1D2,RNWHYDCRIXX,1,2045,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2045,45.3677295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2046,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2046,63.2502
GLOBAL,S1D2,PWRWONCRIXX01,1,2046,47.4413295
GLOBAL,S1D2,RNWHYDCRIXX,1,2046,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2046,47.4413295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2047,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2047,65.3184
GLOBAL,S1D2,PWRWONCRIXX01,1,2047,49.5095295
GLOBAL,S1D2,RNWHYDCRIXX,1,2047,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2047,49.5095295
GLOBAL,S1D2,PWRHYDCRIXX01,1,2048,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2048,67.392
GLOBAL,S1D2,PWRWONCRIXX01,1,2048,51.58313
GLOBAL,S1D2,RNWHYDCRIXX,1,2048,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2048,51.58313
GLOBAL,S1D2,PWRHYDCRIXX01,1,2049,15.8088705
GLOBAL,S1D2,PWRTRNCRIXX,1,2049,69.4656
GLOBAL,S1D2,PWRWONCRIXX01,1,2049,53.65673
GLOBAL,S1D2,RNWHYDCRIXX,1,2049,15.8088705
GLOBAL,S1D2,RNWWONCRIXX,1,2049,53.65673
GLOBAL,S1D2,PWRHYDCRIXX01,1,2050,14.2279835
GLOBAL,S1D2,PWRTRNCRIXX,1,2050,71.5338
GLOBAL,S1D2,PWRWONCRIXX01,1,2050,57.305815
GLOBAL,S1D2,RNWHYDCRIXX,1,2050,14.2279835
GLOBAL,S1D2,RNWWONCRIXX,1,2050,57.305815
